x,y,R,s,T
-0.740000,-0.820000,0.676768,0.040000,352.045708
-0.700000,-0.820000,0.664747,0.040000,354.269324
-0.660000,-0.820000,0.653565,0.040000,356.414616
-0.620000,-0.820000,0.642935,0.040000,358.471702
-0.580000,-0.820000,0.633573,0.040000,360.431533
-0.540000,-0.820000,0.624643,0.040000,362.285988
-0.500000,-0.820000,0.616387,0.040000,364.027947
-0.460000,-0.820000,0.609157,0.040000,365.651301
-0.420000,-0.820000,0.602702,0.040000,367.150937
-0.380000,-0.820000,0.596416,0.040000,368.522680
-0.340000,-0.820000,0.591014,0.040000,369.763210
-0.300000,-0.820000,0.586458,0.040000,370.869965
-0.260000,-0.820000,0.582627,0.040000,371.841029
-0.220000,-0.820000,0.578855,0.040000,372.675018
-0.180000,-0.820000,0.575875,0.040000,373.370971
-0.140000,-0.820000,0.573683,0.040000,373.928254
-0.100000,-0.820000,0.572263,0.040000,374.346468
-0.060000,-0.820000,0.570917,0.040000,374.625378
-0.020000,-0.820000,0.570180,0.040000,374.764860
0.020000,-0.820000,0.570180,0.040000,374.764860
0.060000,-0.820000,0.570917,0.040000,374.625378
0.100000,-0.820000,0.572263,0.040000,374.346468
0.140000,-0.820000,0.573683,0.040000,373.928254
0.180000,-0.820000,0.575875,0.040000,373.370971
0.220000,-0.820000,0.578855,0.040000,372.675018
0.260000,-0.820000,0.582627,0.040000,371.841029
0.300000,-0.820000,0.586458,0.040000,370.869965
0.340000,-0.820000,0.591014,0.040000,369.763210
0.380000,-0.820000,0.596416,0.040000,368.522680
0.420000,-0.820000,0.602702,0.040000,367.150937
0.460000,-0.820000,0.609157,0.040000,365.651301
0.500000,-0.820000,0.616387,0.040000,364.027947
0.540000,-0.820000,0.624643,0.040000,362.285988
0.580000,-0.820000,0.633573,0.040000,360.431533
0.620000,-0.820000,0.642935,0.040000,358.471702
0.660000,-0.820000,0.653565,0.040000,356.414616
0.700000,-0.820000,0.664747,0.040000,354.269324
0.740000,-0.820000,0.676768,0.040000,352.045708
0.780000,-0.820000,0.690057,0.040000,349.754331
0.820000,-0.820000,0.703676,0.040000,347.406263
