x,y,R,s,phi,sigma_xx,sigma_yy,tau_xy,epsilon_xx,epsilon_yy,epsilon_xy
-1.720000,-1.520000,0.480937,0.080000,-1752.249569,-6.666635,5.374176,-8.400172,-0.000000,0.000000,-0.000000
-1.640000,-1.520000,0.480104,0.080000,-1752.497672,-6.399237,5.109980,-6.295675,-0.000000,0.000000,-0.000000
-1.560000,-1.520000,0.480104,0.080000,-1752.713311,-5.951472,4.666691,-4.704736,-0.000000,0.000000,-0.000000
-1.480000,-1.520000,0.480937,0.080000,-1752.899212,-5.440084,4.159885,-3.509725,-0.000000,0.000000,-0.000000
-1.400000,-1.520000,0.482597,0.080000,-1753.058550,-4.928286,3.652218,-2.614201,-0.000000,0.000000,-0.000000
-1.320000,-1.520000,0.480937,0.080000,-1753.194536,-4.447887,3.175299,-1.943098,-0.000000,0.000000,-0.000000
-1.240000,-1.520000,0.480104,0.080000,-1753.310201,-4.012801,2.743062,-1.439600,-0.000000,0.000000,-0.000000
-1.160000,-1.520000,0.480104,0.080000,-1753.408299,-3.627156,2.359743,-1.061379,-0.000000,0.000000,-0.000000
-1.080000,-1.520000,0.480937,0.080000,-1753.491278,-3.290054,2.024524,-0.777100,-0.000000,0.000000,-0.000000
-1.000000,-1.520000,0.482597,0.080000,-1753.561281,-2.998211,1.734170,-0.563521,-0.000000,0.000000,-0.000000
-0.920000,-1.520000,0.480937,0.080000,-1753.620166,-2.747343,1.484445,-0.403319,-0.000000,0.000000,-0.000000
-0.840000,-1.520000,0.480104,0.080000,-1753.669532,-2.532895,1.270883,-0.283575,-0.000000,0.000000,-0.000000
-0.760000,-1.520000,0.480104,0.080000,-1753.710746,-2.350508,1.089217,-0.194687,-0.000000,0.000000,-0.000000
-0.680000,-1.520000,0.480937,0.080000,-1753.744973,-2.196304,0.935610,-0.129477,-0.000000,0.000000,-0.000000
-0.600000,-1.520000,0.482597,0.080000,-1753.773197,-2.066959,0.806728,-0.082460,-0.000000,0.000000,-0.000000
-0.520000,-1.520000,0.480937,0.080000,-1753.796244,-1.959611,0.699710,-0.049356,-0.000000,0.000000,-0.000000
-0.440000,-1.520000,0.480104,0.080000,-1753.814800,-1.871784,0.612123,-0.026836,-0.000000,0.000000,-0.000000
-0.360000,-1.520000,0.480104,0.080000,-1753.829426,-1.801408,0.541953,-0.012358,-0.000000,0.000000,-0.000000
-0.280000,-1.520000,0.480937,0.080000,-1753.840573,-1.746882,0.487609,-0.003947,-0.000000,0.000000,-0.000000
-0.200000,-1.520000,0.482597,0.080000,-1753.848588,-1.707038,0.447892,0.000054,-0.000000,0.000000,0.000000
-0.120000,-1.520000,0.480937,0.080000,-1753.853727,-1.681017,0.421922,0.001117,-0.000000,0.000000,0.000000
-0.040000,-1.520000,0.480104,0.080000,-1753.856155,-1.668186,0.409096,0.000545,-0.000000,0.000000,0.000000
0.040000,-1.520000,0.480104,0.080000,-1753.855956,-1.668186,0.409095,-0.000543,-0.000000,0.000000,-0.000000
0.120000,-1.520000,0.480937,0.080000,-1753.853129,-1.681015,0.421921,-0.001115,-0.000000,0.000000,-0.000000
0.200000,-1.520000,0.482597,0.080000,-1753.847592,-1.707036,0.447890,-0.000052,-0.000000,0.000000,-0.000000
0.280000,-1.520000,0.480937,0.080000,-1753.839179,-1.746879,0.487607,0.003948,-0.000000,0.000000,0.000000
0.360000,-1.520000,0.480104,0.080000,-1753.827634,-1.801404,0.541949,0.012360,-0.000000,0.000000,0.000000
0.440000,-1.520000,0.480104,0.080000,-1753.812609,-1.871779,0.612118,0.026837,-0.000000,0.000000,0.000000
0.520000,-1.520000,0.480937,0.080000,-1753.793656,-1.959606,0.699705,0.049356,-0.000000,0.000000,0.000000
0.600000,-1.520000,0.482597,0.080000,-1753.770211,-2.066952,0.806722,0.082460,-0.000000,0.000000,0.000000
0.680000,-1.520000,0.480937,0.080000,-1753.741589,-2.196296,0.935602,0.129477,-0.000000,0.000000,0.000000
0.760000,-1.520000,0.480104,0.080000,-1753.706964,-2.350499,1.089208,0.194686,-0.000000,0.000000,0.000000
0.840000,-1.520000,0.480104,0.080000,-1753.665351,-2.532884,1.270872,0.283574,-0.000000,0.000000,0.000000
0.920000,-1.520000,0.480937,0.080000,-1753.615588,-2.747330,1.484432,0.403316,-0.000000,0.000000,0.000000
1.000000,-1.520000,0.482597,0.080000,-1753.556305,-2.998196,1.734155,0.563517,-0.000000,0.000000,0.000000
1.080000,-1.520000,0.480937,0.080000,-1753.485904,-3.290036,2.024507,0.777094,-0.000000,0.000000,0.000000
1.160000,-1.520000,0.480104,0.080000,-1753.402527,-3.627136,2.359723,1.061370,-0.000000,0.000000,0.000000
1.240000,-1.520000,0.480104,0.080000,-1753.304032,-4.012777,2.743040,1.439588,-0.000000,0.000000,0.000000
1.320000,-1.520000,0.480937,0.080000,-1753.187970,-4.447860,3.175272,1.943082,-0.000000,0.000000,0.000000
1.400000,-1.520000,0.482597,0.080000,-1753.051587,-4.928256,3.652188,2.614180,-0.000000,0.000000,0.000000
1.480000,-1.520000,0.480937,0.080000,-1752.891852,-5.440049,4.159851,3.509696,-0.000000,0.000000,0.000000
1.560000,-1.520000,0.480104,0.080000,-1752.705554,-5.951433,4.666653,4.704698,-0.000000,0.000000,0.000000
1.640000,-1.520000,0.480104,0.080000,-1752.489518,-6.399195,5.109939,6.295624,-0.000000,0.000000,0.000000
1.720000,-1.520000,0.480937,0.080000,-1752.241019,-6.666592,5.374133,8.400105,-0.000000,0.000000,0.000000
1.800000,-1.520000,0.482597,0.080000,-1751.958550,-6.548758,5.256599,11.147062,-0.000000,0.000000,0.000000
1.880000,-1.520000,0.480937,0.080000,-1751.643158,-5.703377,4.418889,14.643643,-0.000000,0.000000,0.000000
1.960000,-1.520000,0.480104,0.080000,-1751.300646,-3.556297,2.200364,18.948595,-0.000000,0.000000,0.000000
2.040000,-1.520000,0.460977,0.080000,-1750.945004,0.622895,-1.997681,23.584485,0.000000,-0.000000,0.000000
2.120000,-1.520000,0.381182,0.080000,-1750.603210,7.622562,-9.163613,27.968006,0.000000,-0.000000,0.000000
-2.120000,-1.440000,0.380132,0.080000,-1751.156622,10.018139,-11.369600,-20.105561,0.000000,-0.000000,-0.000000
-2.040000,-1.440000,0.460109,0.080000,-1751.354071,4.231587,-5.489811,-18.352510,0.000000,-0.000000,-0.000000
-1.960000,-1.440000,0.540093,0.080000,-1751.586882,0.229549,-1.486224,-15.775461,0.000000,-0.000000,-0.000000
-1.880000,-1.440000,0.560803,0.080000,-1751.829488,-2.293513,1.098952,-12.968313,-0.000000,0.000000,-0.000000
-1.800000,-1.440000,0.562228,0.080000,-1752.065832,-3.701316,2.485723,-10.414839,-0.000000,0.000000,-0.000000
-1.720000,-1.440000,0.560803,0.080000,-1752.286781,-4.386566,3.155377,-8.233215,-0.000000,0.000000,-0.000000
-1.640000,-1.440000,0.560089,0.080000,-1752.487857,-4.616635,3.374727,-6.445214,-0.000000,0.000000,-0.000000
-1.560000,-1.440000,0.560089,0.080000,-1752.667526,-4.576342,3.327414,-5.015457,-0.000000,0.000000,-0.000000
-1.480000,-1.440000,0.560803,0.080000,-1752.826004,-4.386739,3.133372,-3.888672,-0.000000,0.000000,-0.000000
-1.400000,-1.440000,0.562228,0.080000,-1752.964479,-4.123979,2.867885,-3.008009,-0.000000,0.000000,-0.000000
-1.320000,-1.440000,0.560803,0.080000,-1753.084618,-3.834266,2.576542,-2.322754,-0.000000,0.000000,-0.000000
-1.240000,-1.440000,0.560089,0.080000,-1753.188267,-3.544526,2.285863,-1.790652,-0.000000,0.000000,-0.000000
-1.160000,-1.440000,0.560089,0.080000,-1753.277275,-3.269612,2.010438,-1.377780,-0.000000,0.000000,-0.000000
-1.080000,-1.440000,0.560803,0.080000,-1753.353400,-3.016992,1.757566,-1.057461,-0.000000,0.000000,-0.000000
-1.000000,-1.440000,0.562228,0.080000,-1753.418259,-2.789729,1.530203,-0.808958,-0.000000,0.000000,-0.000000
-0.920000,-1.440000,0.560803,0.080000,-1753.473305,-2.588344,1.328801,-0.616239,-0.000000,0.000000,-0.000000
-0.840000,-1.440000,0.560089,0.080000,-1753.519829,-2.411953,1.152440,-0.466930,-0.000000,0.000000,-0.000000
-0.760000,-1.440000,0.560089,0.080000,-1753.558961,-2.258982,0.999523,-0.351467,-0.000000,0.000000,-0.000000
-0.680000,-1.440000,0.560803,0.080000,-1753.591680,-2.127584,0.868189,-0.262438,-0.000000,0.000000,-0.000000
-0.600000,-1.440000,0.562228,0.080000,-1753.618829,-2.015887,0.756555,-0.194062,-0.000000,0.000000,-0.000000
-0.520000,-1.440000,0.560803,0.080000,-1753.641123,-1.922125,0.662849,-0.141800,-0.000000,0.000000,-0.000000
-0.440000,-1.440000,0.560089,0.080000,-1753.659163,-1.844708,0.585481,-0.102051,-0.000000,0.000000,-0.000000
-0.360000,-1.440000,0.560089,0.080000,-1753.673446,-1.782263,0.523077,-0.071924,-0.000000,0.000000,-0.000000
-0.280000,-1.440000,0.560803,0.080000,-1753.684370,-1.733649,0.474500,-0.049059,-0.000000,0.000000,-0.000000
-0.200000,-1.440000,0.562228,0.080000,-1753.692249,-1.697971,0.438848,-0.031482,-0.000000,0.000000,-0.000000
-0.120000,-1.440000,0.560803,0.080000,-1753.697310,-1.674559,0.415451,-0.017501,-0.000000,0.000000,-0.000000
-0.040000,-1.440000,0.560089,0.080000,-1753.699704,-1.662966,0.403864,-0.005605,-0.000000,0.000000,-0.000000
0.040000,-1.440000,0.560089,0.080000,-1753.699505,-1.662966,0.403863,0.005607,-0.000000,0.000000,0.000000
0.120000,-1.440000,0.560803,0.080000,-1753.696713,-1.674558,0.415450,0.017502,-0.000000,0.000000,0.000000
0.200000,-1.440000,0.562228,0.080000,-1753.691254,-1.697969,0.438846,0.031483,-0.000000,0.000000,0.000000
0.280000,-1.440000,0.560803,0.080000,-1753.682977,-1.733647,0.474497,0.049059,-0.000000,0.000000,0.000000
0.360000,-1.440000,0.560089,0.080000,-1753.671654,-1.782259,0.523074,0.071925,-0.000000,0.000000,0.000000
0.440000,-1.440000,0.560089,0.080000,-1753.656973,-1.844704,0.585477,0.102051,-0.000000,0.000000,0.000000
0.520000,-1.440000,0.560803,0.080000,-1753.638535,-1.922120,0.662844,0.141800,-0.000000,0.000000,0.000000
0.600000,-1.440000,0.562228,0.080000,-1753.615843,-2.015881,0.756549,0.194062,-0.000000,0.000000,0.000000
0.680000,-1.440000,0.560803,0.080000,-1753.588296,-2.127577,0.868182,0.262437,-0.000000,0.000000,0.000000
0.760000,-1.440000,0.560089,0.080000,-1753.555179,-2.258974,0.999514,0.351465,-0.000000,0.000000,0.000000
0.840000,-1.440000,0.560089,0.080000,-1753.515649,-2.411944,1.152430,0.466926,-0.000000,0.000000,0.000000
0.920000,-1.440000,0.560803,0.080000,-1753.468727,-2.588332,1.328790,0.616234,-0.000000,0.000000,0.000000
1.000000,-1.440000,0.562228,0.080000,-1753.413283,-2.789716,1.530190,0.808952,-0.000000,0.000000,0.000000
1.080000,-1.440000,0.560803,0.080000,-1753.348027,-3.016977,1.757551,1.057452,-0.000000,0.000000,0.000000
1.160000,-1.440000,0.560089,0.080000,-1753.271504,-3.269595,2.010421,1.377768,-0.000000,0.000000,0.000000
1.240000,-1.440000,0.560089,0.080000,-1753.182098,-3.544507,2.285844,1.790637,-0.000000,0.000000,0.000000
1.320000,-1.440000,0.560803,0.080000,-1753.078052,-3.834245,2.576521,2.322734,-0.000000,0.000000,0.000000
1.400000,-1.440000,0.562228,0.080000,-1752.957516,-4.123956,2.867862,3.007984,-0.000000,0.000000,0.000000
1.480000,-1.440000,0.560803,0.080000,-1752.818643,-4.386713,3.133347,3.888640,-0.000000,0.000000,0.000000
1.560000,-1.440000,0.560089,0.080000,-1752.659768,-4.576315,3.327386,5.015417,-0.000000,0.000000,0.000000
1.640000,-1.440000,0.560089,0.080000,-1752.479703,-4.616608,3.374699,6.445162,-0.000000,0.000000,0.000000
1.720000,-1.440000,0.560803,0.080000,-1752.278230,-4.386539,3.155351,8.233150,-0.000000,0.000000,0.000000
1.800000,-1.440000,0.562228,0.080000,-1752.056885,-3.701295,2.485702,10.414756,-0.000000,0.000000,0.000000
1.880000,-1.440000,0.560803,0.080000,-1751.820145,-2.293502,1.098941,12.968210,-0.000000,0.000000,0.000000
1.960000,-1.440000,0.540093,0.080000,-1751.577142,0.229541,-1.486216,15.775337,0.000000,-0.000000,0.000000
2.040000,-1.440000,0.460109,0.080000,-1751.343934,4.231550,-5.489773,18.352365,0.000000,-0.000000,0.000000
2.120000,-1.440000,0.380132,0.080000,-1751.146089,10.018059,-11.369519,20.105401,0.000000,-0.000000,0.000000
-2.120000,-1.360000,0.380132,0.080000,-1751.637056,10.203336,-11.538676,-14.284448,0.000000,-0.000000,-0.000000
-2.040000,-1.360000,0.460109,0.080000,-1751.727671,5.756241,-7.027619,-13.967534,0.000000,-0.000000,-0.000000
-1.960000,-1.360000,0.540093,0.080000,-1751.863220,2.337888,-3.610881,-12.723300,0.000000,-0.000000,-0.000000
-1.880000,-1.360000,0.620081,0.080000,-1752.021924,-0.092222,-1.116825,-11.034118,0.000000,-0.000000,-0.000000
-1.800000,-1.360000,0.641950,0.080000,-1752.188366,-1.668890,0.447504,-9.286094,-0.000000,0.000000,-0.000000
-1.720000,-1.360000,0.640703,0.080000,-1752.352385,-2.628634,1.396464,-7.654950,-0.000000,0.000000,-0.000000
